mod_covar,Q,logLik,AICc,num.param,delta.AICc
snowmeltgeo,unconstrained,28.499870397282926,274.98055477193657,108,101.4529352788563
water_tempmtn,unconstrained,25.82092510230261,275.65226744245354,107,102.12464794937327
snowmeltmtn,unconstrained,25.756050235090093,275.7820171768786,107,102.25439768379832
spi_12mtn,unconstrained,24.49906773356252,278.29598217993373,107,104.76836268685346
snowmeltlulc,unconstrained,26.04517131090257,279.8899529446973,108,106.36233345161705
water_tempgeo,unconstrained,25.852540314162695,280.27521493817704,108,106.74759544509678
spi_12lulc,unconstrained,25.71362161094282,280.5530523446168,108,107.02543285153652
spi_12geo,unconstrained,24.498815447619418,282.9826646712636,108,109.45504517818333
water_templulc,unconstrained,24.299911803996764,283.3804719585089,108,109.85285246542864
ppt_mmu,unconstrained,42.35425888644362,296.8044355949884,118,123.27681610190811
snowmeltu,unconstrained,31.55039586984858,318.41216162817847,118,144.8845421350982
spi_12u,unconstrained,30.528999911942876,320.45495354398986,118,146.9273340509096
water_tempu,unconstrained,29.39876840011133,322.715416567653,118,149.18779707457273
ppt_mmmtn,diagonal and equal,-231.69110788621416,499.4638484254895,17,325.9362289324092
ppt_mmgeo,diagonal and equal,-231.5511714167586,501.43681382327827,18,327.90919433019803
ppt_mm,diagonal and equal,-233.91558433085856,501.6752364583273,16,328.14761696524704
ppt_mmlulc,diagonal and equal,-231.86580248740964,502.06607596458036,18,328.5384564715001
ppt_mmmtn,diagonal and unequal,-229.1704477076119,522.5111081811813,29,348.98348868810103
ppt_mmu,diagonal and equal,-230.45169198918234,522.6418998794247,28,349.1142803863445
ppt_mmgeo,diagonal and unequal,-229.0192099815232,524.657637044897,30,351.13001755181676
ppt_mm,diagonal and unequal,-231.80860874653973,525.3557333941395,28,351.8281139010593
ppt_mmlulc,diagonal and unequal,-229.5350850251475,525.6893871321456,30,352.1617676390654
ppt_mmu,diagonal and unequal,-228.07450479002316,548.2523306132566,40,374.7247111201764
spi_12,diagonal and equal,-263.72950720493156,561.3030822064733,16,387.77546271339304
spi_12mtn,diagonal and equal,-263.40182789889616,562.8852884508535,17,389.3576689577733
spi_12geo,diagonal and equal,-263.39820088394293,565.130872757647,18,391.6032532645668
spi_12lulc,diagonal and equal,-263.4549816281082,565.2444342459776,18,391.71681475289733
water_temp,diagonal and equal,-267.63645623372713,569.1169802640644,16,395.5893607709842
water_tempmtn,diagonal and equal,-266.79070779462444,569.6630482423101,17,396.13542874922985
water_tempgeo,diagonal and equal,-266.7102334128253,571.7549378154117,18,398.2273183223315
water_templulc,diagonal and equal,-266.77828542037764,571.8910418305164,18,398.3634223374362
null,diagonal and equal,-271.642642762106,574.9069071458337,15,401.3792876527534
snowmelt,diagonal and equal,-271.3100084518887,576.4640847003875,16,402.93646520730726
snowmeltmtn,diagonal and equal,-271.30889265044874,578.6994179539587,17,405.17179846087845
snowmeltgeo,diagonal and equal,-270.83633173195204,580.0071344536652,18,406.479514960585
snowmeltlulc,diagonal and equal,-270.9181159244986,580.1707028387583,18,406.64308334567806
spi_12,diagonal and unequal,-260.11410615142637,581.9667282039128,28,408.43910871083256
spi_12mtn,diagonal and unequal,-259.6606364726693,583.491485711296,29,409.9638662182158
spi_12geo,diagonal and unequal,-259.65877101584414,585.9367591135388,30,412.4091396204585
spi_12lulc,diagonal and unequal,-259.76703586985263,586.1532888215559,30,412.6256693284756
spi_12u,diagonal and equal,-263.0392209700731,587.8169578412062,28,414.28933834812597
water_tempu,diagonal and equal,-265.3089460854378,592.3564080719357,28,418.82878857885544
water_temp,diagonal and unequal,-265.6427303823532,593.0239766657664,28,419.4963571726862
water_tempmtn,diagonal and unequal,-264.5371182902549,593.2444493464673,29,419.716829853387
water_tempgeo,diagonal and unequal,-264.45408705293625,595.527391187723,30,421.99977169464273
water_templulc,diagonal and unequal,-264.65178909090594,595.9227952636625,30,422.3951757705822
null,diagonal and unequal,-269.06450926064946,597.4529621832708,27,423.9253426901905
snowmelt,diagonal and unequal,-268.6971297236454,599.1327753483508,28,425.6051558552706
snowmeltu,diagonal and equal,-268.8116127778529,599.3617414567658,28,425.83412196368556
snowmeltmtn,diagonal and unequal,-268.6962123640819,601.5626374941212,29,428.03501800104095
snowmeltgeo,diagonal and unequal,-268.2106689332056,603.0405549482618,30,429.5129354551816
snowmeltlulc,diagonal and unequal,-268.35256877699726,603.3243546358451,30,429.7967351427649
spi_12u,diagonal and unequal,-259.3017101762726,610.7067413857555,40,437.1791218926753
water_tempu,diagonal and unequal,-263.1465270772238,618.396375187658,40,444.86875569457777
snowmeltu,diagonal and unequal,-266.19739460091887,624.4981102350481,40,450.97049074196786
